"","date","death_28nomask","death_14mask"
"1","2020-02-01",0,0
"2","2020-02-02",0,0
"3","2020-02-03",0,0
"4","2020-02-04",0,0
"5","2020-02-05",0,0
"6","2020-02-06",0,0
"7","2020-02-07",0,0
"8","2020-02-08",0,0
"9","2020-02-09",0,0
"10","2020-02-10",0,0
"11","2020-02-11",0,0
"12","2020-02-12",0,0
"13","2020-02-13",0,0
"14","2020-02-14",0,0
"15","2020-02-15",0,0
"16","2020-02-16",0,0
"17","2020-02-17",0,0
"18","2020-02-18",0,0
"19","2020-02-19",0,0
"20","2020-02-20",0,0
"21","2020-02-21",0,0
"22","2020-02-22",0,0
"23","2020-02-23",0,0
"24","2020-02-24",0,0
"25","2020-02-25",0,0
"26","2020-02-26",0,0
"27","2020-02-27",0,0
"28","2020-02-28",0,0
"29","2020-02-29",1,0
"30","2020-03-01",0,0
"31","2020-03-02",5,0
"32","2020-03-03",1,0
"33","2020-03-04",4,0
"34","2020-03-05",1,0
"35","2020-03-06",2,0
"36","2020-03-07",3,0
"37","2020-03-08",4,0
"38","2020-03-09",1,0
"39","2020-03-10",5,1
"40","2020-03-11",7,0
"41","2020-03-12",4,0
"42","2020-03-13",7,0
"43","2020-03-14",4,3
"44","2020-03-15",7,5
"45","2020-03-16",15,4
"46","2020-03-17",17,11
"47","2020-03-18",7,14
"48","2020-03-19",48,23
"49","2020-03-20",28,35
"50","2020-03-21",33,38
"51","2020-03-22",34,74
"52","2020-03-23",56,65
"53","2020-03-24",59,113
"54","2020-03-25",101,178
"55","2020-03-26",101,189
"56","2020-03-27",135,232
"57","2020-03-28",140,390
"58","2020-03-29",112,336
"59","2020-03-30",127,457
"60","2020-03-31",280,688
"61","2020-04-01",191,776
"62","2020-04-02",352,930
"63","2020-04-03",282,1065
"64","2020-04-04",266,1233
"65","2020-04-05",354,1056
"66","2020-04-06",273,1141
"67","2020-04-07",539,1657
"68","2020-04-08",417,1724
"69","2020-04-09",417,1580
"70","2020-04-10",437,1853
"71","2020-04-11",378,1725
"72","2020-04-12",245,1506
"73","2020-04-13",330,1386
"74","2020-04-14",658,1857
"75","2020-04-15",497,2137
"76","2020-04-16",587,1506
"77","2020-04-17",563,1789
"78","2020-04-18",417,1592
"79","2020-04-19",300,1716
"80","2020-04-20",399,1332
"81","2020-04-21",618,1852
"82","2020-04-22",604,1859
"83","2020-04-23",755,1561
"84","2020-04-24",596,1498
"85","2020-04-25",347,1415
"86","2020-04-26",278,1059
"87","2020-04-27",398,1039
"88","2020-04-28",636,1728
"89","2020-04-29",720,1826
"90","2020-04-30",690,1538
"91","2020-05-01",585,1176
"92","2020-05-02",324,1132
"93","2020-05-03",245,1075
"94","2020-05-04",343,800
"95","2020-05-05",757,1470
"96","2020-05-06",787,1994
"97","2020-05-07",604,1349
"98","2020-05-08",573,993
"99","2020-05-09",468,995
"100","2020-05-10",210,704
"101","2020-05-11",361,643
"102","2020-05-12",654,1010
"103","2020-05-13",551,1162
"104","2020-05-14",582,1191
"105","2020-05-15",592,929
"106","2020-05-16",478,772
"107","2020-05-17",212,621
"108","2020-05-18",323,483
"109","2020-05-19",612,875
"110","2020-05-20",651,882
"111","2020-05-21",564,708
"112","2020-05-22",481,818
"113","2020-05-23",388,639
"114","2020-05-24",210,465
"115","2020-05-25",169,325
"116","2020-05-26",313,408
"117","2020-05-27",588,826
"118","2020-05-28",575,667
"119","2020-05-29",515,650
"120","2020-05-30",417,556
"121","2020-05-31",199,415
"122","2020-06-01",285,415
"123","2020-06-02",532,520
"124","2020-06-03",457,541
"125","2020-06-04",413,559
"126","2020-06-05",487,655
"127","2020-06-06",336,383
"128","2020-06-07",141,268
"129","2020-06-08",257,257
"130","2020-06-09",507,493
"131","2020-06-10",498,415
"132","2020-06-11",488,418
"133","2020-06-12",376,367
"134","2020-06-13",378,406
"135","2020-06-14",137,187
"136","2020-06-15",209,181
